Hour,Mini_Hydro_Generation_MW
7014,288.7186618
7015,288.7186618
7016,288.7186618
7017,288.7186618
7018,288.7186618
7019,288.7186618
7020,288.7186618
7021,288.7186618
7022,288.7186618
7023,288.7186618
7024,288.7186618
7025,288.7186618
7026,288.7186618
7027,288.7186618
7028,288.7186618
7029,288.7186618
7030,288.7186618
7031,288.7186618
7032,288.7186618
7033,288.7186618
7034,288.7186618
7035,288.7186618
7036,288.7186618
7037,288.7186618
7038,288.7186618
7039,288.7186618
7040,288.7186618
7041,288.7186618
7042,288.7186618
7043,288.7186618
7044,288.7186618
7045,288.7186618
7046,288.7186618
7047,288.7186618
7048,288.7186618
7049,288.7186618
7050,288.7186618
7051,288.7186618
7052,288.7186618
7053,288.7186618
7054,288.7186618
7055,288.7186618
7056,288.7186618
7057,288.7186618
7058,288.7186618
7059,288.7186618
7060,288.7186618
7061,288.7186618
7062,288.7186618
7063,288.7186618
7064,288.7186618
7065,288.7186618
7066,288.7186618
7067,288.7186618
7068,288.7186618
7069,288.7186618
7070,288.7186618
7071,288.7186618
7072,288.7186618
7073,288.7186618
7074,288.7186618
7075,288.7186618
7076,288.7186618
7077,288.7186618
7078,288.7186618
7079,288.7186618
7080,288.7186618
7081,288.7186618
7082,288.7186618
7083,288.7186618
7084,288.7186618
7085,288.7186618
7086,288.7186618
7087,288.7186618
7088,288.7186618
7089,288.7186618
7090,288.7186618
7091,288.7186618
7092,288.7186618
7093,288.7186618
7094,288.7186618
7095,288.7186618
7096,288.7186618
7097,288.7186618
7098,288.7186618
7099,288.7186618
7100,288.7186618
7101,288.7186618
7102,288.7186618
7103,288.7186618
7104,288.7186618
7105,288.7186618
7106,288.7186618
7107,288.7186618
7108,288.7186618
7109,288.7186618
7110,288.7186618
7111,288.7186618
7112,288.7186618
7113,288.7186618
7114,288.7186618
7115,288.7186618
7116,288.7186618
7117,288.7186618
7118,288.7186618
7119,288.7186618
7120,288.7186618
7121,288.7186618
7122,288.7186618
7123,288.7186618
7124,288.7186618
7125,288.7186618
7126,288.7186618
7127,288.7186618
7128,288.7186618
7129,288.7186618
7130,288.7186618
7131,288.7186618
7132,288.7186618
7133,288.7186618
7134,288.7186618
7135,288.7186618
7136,288.7186618
7137,288.7186618
7138,288.7186618
7139,288.7186618
